family,variant_name,learning_rate,episodes,use_lstm,clip_param,num_sgd_iter,disable_belief_input,mean_reward,final_avg_reward,defender_reward,defender_final_avg_reward,attacker_reward,policy_entropy,convergence_step,training_time_s,reward_volatility,real_host_attack_rate,honeypot_hit_rate,deception_success_rate,signal_effect,mean_belief_last_step,defender_signal_real_sN,defender_signal_real_sH,defender_signal_honeypot_sN,defender_signal_honeypot_sH,attacker_real_sN,attacker_real_sH,attacker_honeypot_sN,attacker_honeypot_sH,checkpoint_path
baseline,SG-MAPPO,0.0001,400,True,0.2,8,False,-105.68881213924963,-54.491,301.2875806277056,237.208,-406.97639276695526,1.380399174882418,207,3724.4509587287903,120.85558183661196,0.38494736842105265,0.244,0.41196333815726,0.1293519564211662,0.7439867149852216,0.7091668446503188,0.29083315569015855,0.7648243043025335,0.23517569554201292,0.42068208790037737,0.43832258013542763,0.3740083523518309,0.13294493174454874,/Users/SL/Documents/expproject/MARL/results/ch4/module3_effectiveness/logs/baseline_SG-MAPPO
baseline,SG-MATRPO,7e-05,400,True,0.08,12,False,-189.7705271825397,-123.43266666666666,559.6070696789321,576.9265,-749.3775968614718,1.4297808182339562,91,4398.833088636398,96.1593686233812,0.5150526315789473,0.4920952380952381,0.5136182902584493,0.2630837984870503,0.7133203886728734,0.8004861298234839,0.19951386973632687,0.6514729042280288,0.3485270957230187,0.40693958581184553,0.6698644057224851,0.5176793411969715,0.2544365641335103,/Users/SL/Documents/expproject/MARL/results/ch4/module3_effectiveness/logs/baseline_SG-MATRPO
baseline,SG-MAA2C,0.0001,400,True,1.0,1,False,522.9592871572871,590.987,560.085084054834,609.1165,-37.1257968975469,0.8331898660416267,268,2509.100072860718,157.71110606182674,0.0,0.0,0.0,6.116157811917182e-05,0.48035903439857064,0.7123758074045181,0.2876241923937525,0.3237119494846889,0.6762880507308457,0.0003225598230934969,0.00029024784455302006,0.0002712250438889896,0.0003612362215868564,/Users/SL/Documents/expproject/MARL/results/ch4/module3_effectiveness/logs/baseline_SG-MAA2C
baseline,Plain-MAPPO,0.0001,400,True,0.2,8,False,340.4044665764791,378.37733333333335,46.10582123015873,-180.4715,294.29864534632037,1.3330507389025081,179,3659.9979038238525,85.39551549991968,0.6402105263157895,0.15142857142857144,0.20724713242961418,0.07155018203615378,0.47643289347179235,0.5590291680314281,0.4409708319685719,0.5924234660817725,0.4075765339182274,0.6249312580404104,0.6591144268382,0.15407116226856563,0.2629883575430836,/Users/SL/Documents/expproject/MARL/results/ch4/module3_effectiveness/logs/baseline_truthful_Plain-MAPPO
