real_host_attack_rate,honeypot_hit_rate,deception_success_rate,signal_effect,mean_belief_last_step,defender_signal_real_sN,defender_signal_real_sH,defender_signal_honeypot_sN,defender_signal_honeypot_sH,attacker_real_sN,attacker_real_sH,attacker_honeypot_sN,attacker_honeypot_sH,parameter_name,parameter_value,training_time_s
0.0,0.0,0.0,0.002030076135367694,0.5900672998744995,0.7680699902668334,0.23193000967924793,0.28609979597349017,0.7139002043339941,0.002013097395169631,0.004184436399985938,0.0003822285660943534,0.002271041832013435,T,10,212.65721893310547
0.0,0.0,0.0,0.0013416611353774923,0.24980536750517784,0.4552174368657564,0.5447825630976443,0.26935743036724275,0.7306425691597045,0.005370419587081744,0.005901706897260684,0.0043365551944750036,0.006488590155051048,T,25,214.7098789215088
0.0,0.0,0.0,0.012441514941046616,0.21719458857551216,0.4056924952331342,0.5943075047720943,0.3248263362475804,0.6751736633692469,0.02772073588275816,0.007963556415460397,0.007283286027577237,0.012409136442372706,T,50,214.27693700790405
0.2807017543859649,0.12698412698412698,0.3333333333333333,0.34851073477151984,0.3660938214045018,0.3385539695149974,0.6614460302915489,0.33165246774279883,0.6683475319615432,0.62183088585833,0.11544585944195135,0.3061374360224457,0.11550099289578468,T,100,242.43185710906982
