seed,training_iteration,episode_reward_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,time_total_s
0,1,-111.64000000000001,65.55999999999999,-177.2,0.04233721038326621,0.00408543273806572,1.5586457252502441
0,2,-191.33999999999997,156.85999999999999,-348.2,-0.016885356977581978,-0.01155216433107853,3.1945648193359375
0,3,-222.43999999999997,185.8933333333334,-408.3333333333333,-0.007094617933034897,-0.013289861381053925,4.644073963165283
0,4,-223.40999999999994,189.99,-413.4,-0.013434268534183502,-0.009065251797437668,6.081270933151245
0,5,-259.36799999999994,242.99200000000005,-502.36,-0.011663624551147223,-0.015006093308329582,7.519486904144287
0,6,-260.7333333333333,245.43333333333337,-506.1666666666667,-0.017294134944677353,-0.011232100427150726,8.922928810119629
0,7,-244.14285714285714,228.1428571428572,-472.2857142857143,-0.014064833521842957,-0.008258141577243805,10.310802698135376
0,8,-215.78000000000003,185.79500000000002,-401.575,-0.01527075283229351,-0.004544427967630327,11.691680908203125
0,9,-212.85652173913041,196.68695652173918,-409.54347826086956,-0.006462018471211195,-0.0025277603417634964,13.103901863098145
0,10,-206.10196078431375,192.97647058823532,-399.078431372549,-0.007161350920796394,-0.013318469747900963,14.501016855239868
0,11,-203.96428571428572,189.30357142857147,-393.26785714285717,-0.010163459926843643,-0.003359265625476837,15.895991086959839
0,12,-202.1639344262295,189.78688524590166,-391.95081967213116,-0.010307252407073975,-0.00852251797914505,17.305824041366577
0,13,-205.87575757575758,203.15454545454548,-409.030303030303,-0.0057968273758888245,-0.011511743068695068,18.695340156555176
0,14,-205.61408450704224,202.230985915493,-407.84507042253523,-0.006113879382610321,-0.013000224716961384,20.095547199249268
0,15,-197.32631578947368,188.4105263157895,-385.7368421052632,-0.007811691612005234,-0.00846724584698677,21.48217225074768
0,16,-192.33086419753084,185.2246913580247,-377.55555555555554,-0.0067274789325892925,-0.00636662170290947,22.893075466156006
0,17,-181.97471264367815,178.01379310344828,-359.98850574712645,-0.006227031350135803,-0.004317320883274078,24.294548511505127
0,18,-179.15652173913045,181.8434782608696,-361.0,-0.007645083591341972,-0.011050116270780563,25.70074486732483
0,19,-165.68659793814433,163.3855670103093,-329.07216494845363,-0.00540987664135173,-0.008775616064667702,27.097750902175903
0,20,-174.136,171.644,-345.78,-0.0063927061855793,-0.010399818420410156,28.480292558670044
0,21,-167.58000000000004,167.2,-334.78,-0.005209554685279727,-0.009160789661109447,29.87447428703308
0,22,-169.51600000000002,175.954,-345.47,-0.010276462882757187,-0.006993331015110016,31.266313314437866
0,23,-167.378,176.45200000000006,-343.83,-0.007046038284897804,-0.013681342825293541,32.65052151679993
0,24,-161.502,177.85800000000003,-339.36,-0.0075909048318862915,-0.011151716113090515,34.078219413757324
0,25,-141.13000000000002,153.43,-294.56,-0.007799848914146423,-0.0074312761425971985,35.483107566833496
0,26,-134.02200000000002,141.45800000000003,-275.48,-0.00555026438087225,-0.011777030304074287,36.88395547866821
0,27,-129.30200000000002,144.98800000000003,-274.29,-0.009094222914427519,-0.0020223823375999928,38.27725052833557
0,28,-133.708,149.122,-282.83,-0.008824084885418415,-0.008952585223596543,39.65815043449402
0,29,-131.332,135.69800000000004,-267.03,-0.006500959396362305,-0.011550754308700562,41.04276943206787
0,30,-124.39800000000001,110.45200000000001,-234.85,-0.00458468496799469,-0.008989475667476654,42.504831314086914
0,31,-127.816,115.31400000000002,-243.13,-0.009414341300725937,-0.009839970618486404,43.92181634902954
0,32,-115.04000000000002,95.93,-210.97,-0.006255585700273514,-0.0070380158722400665,45.382296323776245
0,33,-115.79600000000003,84.124,-199.92,-0.0045394375920295715,-0.0021001622080802917,46.78423619270325
0,34,-114.79000000000003,76.61000000000001,-191.4,-0.008524537086486816,-0.003516681492328644,48.18793606758118
