real_host_attack_rate,honeypot_hit_rate,deception_success_rate,signal_effect,mean_belief_last_step,defender_signal_real_sN,defender_signal_real_sH,defender_signal_honeypot_sN,defender_signal_honeypot_sH,attacker_real_sN,attacker_real_sH,attacker_honeypot_sN,attacker_honeypot_sH,parameter_name,parameter_value,training_time_s
0.0,0.0,0.0,0.002030076135367694,0.5900672998744995,0.7680699902668334,0.23193000967924793,0.28609979597349017,0.7139002043339941,0.002013097395169631,0.004184436399985938,0.0003822285660943534,0.002271041832013435,T,10,212.65721893310547
0.0,0.0,0.0,0.0013416611353774923,0.24980536750517784,0.4552174368657564,0.5447825630976443,0.26935743036724275,0.7306425691597045,0.005370419587081744,0.005901706897260684,0.0043365551944750036,0.006488590155051048,T,25,214.7098789215088
0.0,0.0,0.0,0.012441514941046616,0.21719458857551216,0.4056924952331342,0.5943075047720943,0.3248263362475804,0.6751736633692469,0.02772073588275816,0.007963556415460397,0.007283286027577237,0.012409136442372706,T,50,214.27693700790405
0.2807017543859649,0.12698412698412698,0.3333333333333333,0.34851073477151984,0.3660938214045018,0.3385539695149974,0.6614460302915489,0.33165246774279883,0.6683475319615432,0.62183088585833,0.11544585944195135,0.3061374360224457,0.11550099289578468,T,100,242.43185710906982
0.0029787234042553193,0.0007547169811320754,0.2222222222222222,0.03012075049993951,0.21725660299882293,0.4177367208359089,0.5822632790245909,0.3012095575287657,0.6987904423250342,0.09196400941939921,0.03220419912549952,0.038425345051545,0.038907035757524334,N,5,178.72913885116577
0.0,0.0,0.0,0.02399378963559892,0.5487041182949075,0.5981179412443246,0.4018820588001564,0.5985716620210099,0.40142833870363565,0.07734121584030673,0.05288043386609086,0.07344220544315047,0.0499154081461685,N,7,190.5839066505432
0.057916666666666665,0.10115384615384615,0.654228855721393,0.040186156867279776,0.3490909180697054,0.36565915212035177,0.6343408479169012,0.3906247340715848,0.6093752659964733,0.2746401005082114,0.33023359421167314,0.3188082086817473,0.34358702871284513,N,10,227.60074496269226
0.285531914893617,0.1460377358490566,0.3657844990548204,0.11764469862995564,0.2432632819470018,0.31216967204783824,0.6878303280662983,0.3008501308819033,0.6991498689381581,0.2265011879966169,0.4175117298102687,0.2323350231840685,0.276613878630328,psi0,0.3,173.9567129611969
0.0029787234042553193,0.0007547169811320754,0.2222222222222222,0.03012075049993951,0.21725660299882293,0.4177367208359089,0.5822632790245909,0.3012095575287657,0.6987904423250342,0.09196400941939921,0.03220419912549952,0.038425345051545,0.038907035757524334,psi0,0.5,170.41783809661865
0.2817021276595745,0.13811320754716983,0.3560311284046693,0.2353548044107449,0.43364802956581117,0.3461774881342624,0.6538225119069536,0.34343932646625447,0.6565606732975762,0.06518949554967028,0.3615404859963286,0.050349399484018724,0.22470801785885028,psi0,0.7,174.8188440799713
0.2804255319148936,0.13660377358490566,0.3545543584720862,0.23355373153989195,0.22658521892502903,0.3069580317811763,0.6930419683393012,0.3350591653023126,0.6649408346583259,0.08091088031256434,0.3749038337725196,0.05921601413987404,0.23233052375970265,c_theta1,0.6,160.53867292404175
0.0029787234042553193,0.0007547169811320754,0.2222222222222222,0.03012075049993951,0.21725660299882293,0.4177367208359089,0.5822632790245909,0.3012095575287657,0.6987904423250342,0.09196400941939921,0.03220419912549952,0.038425345051545,0.038907035757524334,c_theta1,1.0,165.70414996147156
0.0,0.0,0.0,0.016875043695263693,0.3868796970881522,0.5238734608000898,0.4761265389209098,0.3409488816081353,0.6590511181781876,0.036867701605707404,0.01734261966691437,0.0344728441634522,0.02024783871171785,c_theta1,1.4,171.70320987701416
0.04212765957446808,0.015471698113207547,0.29285714285714287,0.046121056791987795,0.32935205122455957,0.4575941672477316,0.542405832777632,0.3537554569964139,0.6462445433578401,0.1919340677681784,0.14807610560555942,0.07333471425871055,0.12171886568006716,c_theta2,0.6,170.5890839099884
0.0029787234042553193,0.0007547169811320754,0.2222222222222222,0.03012075049993951,0.21725660299882293,0.4177367208359089,0.5822632790245909,0.3012095575287657,0.6987904423250342,0.09196400941939921,0.03220419912549952,0.038425345051545,0.038907035757524334,c_theta2,1.0,171.19139409065247
0.2804255319148936,0.1362264150943396,0.353921568627451,0.31187006018269336,0.40573153756558894,0.3386244879631286,0.6613755125346336,0.3645261304108602,0.6354738696285014,0.08470036182443522,0.4630739356286545,0.06860103156631354,0.31396757812748094,c_theta2,1.4,166.0449571609497
