episode,step,system_idx,theta,signal,attacker_action,belief_real,defender_prob_signal_h,attacker_prob_attack,parameter_name,parameter_value
0,0,0,1,0,0,0.5,0.5221086740493774,0.5411632061004639,T,10
0,0,1,1,0,0,0.5,0.5037620663642883,0.5025765895843506,T,10
0,0,2,0,1,0,0.5,0.5133786797523499,0.4865979552268982,T,10
0,0,3,0,1,0,0.5,0.4949586093425751,0.47976523637771606,T,10
0,0,4,1,1,1,0.5,0.46837323904037476,0.5053871273994446,T,10
0,1,0,1,0,0,0.800000011920929,0.5573462843894958,0.5387852787971497,T,10
0,1,1,1,0,0,0.800000011920929,0.48250967264175415,0.46615487337112427,T,10
0,1,2,0,1,0,0.20000000298023224,0.5357401371002197,0.5272069573402405,T,10
0,1,3,0,1,0,0.20000000298023224,0.5031319856643677,0.4533003568649292,T,10
0,1,4,1,1,1,0.20000000298023224,0.46634945273399353,0.4993673264980316,T,10
0,2,0,1,0,0,0.902658998966217,0.5733637809753418,0.5218032002449036,T,10
0,2,1,1,0,0,0.902658998966217,0.47267934679985046,0.45706743001937866,T,10
0,2,2,0,1,0,0.09734101593494415,0.5400530695915222,0.5671572685241699,T,10
0,2,3,0,1,0,0.09734101593494415,0.5236943960189819,0.4102931618690491,T,10
0,2,4,1,1,1,0.09734101593494415,0.46421051025390625,0.5122284889221191,T,10
0,3,0,1,0,0,0.9391814470291138,0.5678726434707642,0.5081868767738342,T,10
0,3,1,1,1,0,0.9391814470291138,0.4600183665752411,0.4563542902469635,T,10
0,3,2,0,1,0,0.060818564146757126,0.5278549790382385,0.590036928653717,T,10
0,3,3,0,1,0,0.060818564146757126,0.5345124006271362,0.37674570083618164,T,10
0,3,4,1,0,1,0.060818564146757126,0.48218223452568054,0.5496970415115356,T,10
0,4,0,1,0,0,0.9546284675598145,0.5736106038093567,0.5176064968109131,T,10
0,4,1,1,1,0,0.5680375695228577,0.45227205753326416,0.49063336849212646,T,10
0,4,2,0,0,0,0.04537151753902435,0.4850180745124817,0.5751237869262695,T,10
0,4,3,0,1,0,0.04537151753902435,0.5155748724937439,0.3378850221633911,T,10
0,4,4,1,0,1,0.43196243047714233,0.4790835976600647,0.6069208979606628,T,10
0,5,0,1,0,0,0.9620957970619202,0.5785977840423584,0.5140746831893921,T,10
0,5,1,1,1,0,0.2279018610715866,0.4473690092563629,0.5069160461425781,T,10
0,5,2,0,0,0,0.38663870096206665,0.4730339050292969,0.5511613488197327,T,10
0,5,3,0,1,0,0.03790419548749924,0.5010886192321777,0.3208567202091217,T,10
0,5,4,1,0,1,0.7720981240272522,0.4784013032913208,0.6372336745262146,T,10
0,6,0,1,0,0,0.9660342335700989,0.5766254663467407,0.5249114036560059,T,10
0,6,1,1,1,0,0.10655904561281204,0.44274359941482544,0.5168666839599609,T,10
0,6,2,0,0,0,0.7514578104019165,0.482445627450943,0.5116150379180908,T,10
0,6,3,0,1,1,0.033965762704610825,0.4904786944389343,0.32575637102127075,T,10
0,6,4,1,0,1,0.8934409618377686,0.48945632576942444,0.6465635299682617,T,10
0,7,0,1,0,0,0.9682275056838989,0.5737236142158508,0.5300937294960022,T,10
0,7,1,1,0,0,0.06440390646457672,0.45182448625564575,0.5300291180610657,T,10
0,7,2,0,0,0,0.8866893649101257,0.5005674958229065,0.47786539793014526,T,10
0,7,3,0,1,1,0.03177250549197197,0.4743909537792206,0.3362131416797638,T,10
0,7,4,1,0,1,0.9355961084365845,0.5077383518218994,0.6607693433761597,T,10
0,8,0,1,0,0,0.9694903492927551,0.5804667472839355,0.5244269967079163,T,10
0,8,1,1,0,0,0.44107815623283386,0.4418434500694275,0.49563369154930115,T,10
0,8,2,0,0,0,0.9330271482467651,0.509212851524353,0.4591440260410309,T,10
0,8,3,0,1,1,0.03050963021814823,0.48626357316970825,0.3537489175796509,T,10
0,8,4,1,0,1,0.9529958963394165,0.5098963379859924,0.6390769481658936,T,10
0,9,0,1,0,0,0.9702324867248535,0.5897982120513916,0.5185618996620178,T,10
0,9,1,1,0,0,0.7760293483734131,0.45234838128089905,0.4745924770832062,T,10
0,9,2,0,0,0,0.9518453478813171,0.505997896194458,0.4871319532394409,T,10
0,9,3,0,1,0,0.029767485335469246,0.4737669825553894,0.36337414383888245,T,10
0,9,4,1,0,1,0.9612674713134766,0.5127585530281067,0.6341525316238403,T,10
1,0,0,0,0,0,0.5,0.5342332720756531,0.5411632061004639,T,10
1,0,1,1,1,0,0.5,0.4729388952255249,0.5025765895843506,T,10
1,0,2,1,1,0,0.5,0.49780595302581787,0.4865979552268982,T,10
1,0,3,1,0,0,0.5,0.501064658164978,0.47976523637771606,T,10
1,0,4,1,1,1,0.5,0.4799884259700775,0.5053871273994446,T,10
1,1,0,0,0,0,0.800000011920929,0.5814270377159119,0.5558665990829468,T,10
1,1,1,1,0,0,0.20000000298023224,0.454216331243515,0.4969845414161682,T,10
1,1,2,1,1,0,0.20000000298023224,0.5129537582397461,0.500262439250946,T,10
1,1,3,1,0,0,0.800000011920929,0.4949527680873871,0.4492049217224121,T,10
1,1,4,1,0,1,0.20000000298023224,0.4704315960407257,0.5329912304878235,T,10
1,2,0,0,0,0,0.902658998966217,0.598870038986206,0.5632222890853882,T,10
1,2,1,1,0,0,0.6330826282501221,0.46319931745529175,0.5006974339485168,T,10
1,2,2,1,1,0,0.09734101593494415,0.5192010402679443,0.501290500164032,T,10
1,2,3,1,0,0,0.902658998966217,0.5091568827629089,0.3942674398422241,T,10
1,2,4,1,0,1,0.6330826282501221,0.4611107409000397,0.5379683375358582,T,10
1,3,0,0,0,0,0.9391814470291138,0.6056884527206421,0.5491288304328918,T,10
1,3,1,1,0,0,0.847759485244751,0.44739943742752075,0.48823878169059753,T,10
1,3,2,1,1,0,0.060818564146757126,0.5268110036849976,0.5255388021469116,T,10
1,3,3,1,0,0,0.9391814470291138,0.5173612833023071,0.37712040543556213,T,10
1,3,4,1,0,1,0.847759485244751,0.4784645438194275,0.565502405166626,T,10
1,4,0,0,0,0,0.9546284675598145,0.6057822108268738,0.5308294296264648,T,10
1,4,1,1,1,0,0.9189220070838928,0.44224032759666443,0.47019121050834656,T,10
1,4,2,1,1,0,0.04537151753902435,0.5000863671302795,0.5220789909362793,T,10
1,4,3,1,1,0,0.9546284675598145,0.5158799886703491,0.36602360010147095,T,10
1,4,4,1,0,1,0.9189220070838928,0.47315695881843567,0.582234799861908,T,10
1,5,0,0,0,0,0.9620957970619202,0.5968793034553528,0.5311785936355591,T,10
1,5,1,1,1,0,0.5215452313423157,0.4314200282096863,0.4739716947078705,T,10
1,5,2,1,1,0,0.03790419548749924,0.49822303652763367,0.5184469819068909,T,10
1,5,3,1,1,0,0.6133612990379333,0.5024515986442566,0.3495151400566101,T,10
1,5,4,1,0,1,0.9457729458808899,0.4763818085193634,0.6007943749427795,T,10
1,6,0,0,0,0,0.9660342335700989,0.5776429176330566,0.534953236579895,T,10
1,6,1,1,1,0,0.20850004255771637,0.41978317499160767,0.48735785484313965,T,10
1,6,2,1,1,0,0.033965762704610825,0.49018263816833496,0.5021487474441528,T,10
1,6,3,1,1,0,0.2485421597957611,0.498045951128006,0.32132115960121155,T,10
1,6,4,1,0,1,0.9577206969261169,0.4951235055923462,0.6066493988037109,T,10
1,7,0,0,0,0,0.9682275056838989,0.5970289707183838,0.5371015071868896,T,10
1,7,1,1,1,0,0.10016428679227829,0.39916184544563293,0.48795387148857117,T,10
