episode,step,system_idx,theta,signal,attacker_action,belief_real,defender_prob_signal_h,attacker_prob_attack,parameter_name,parameter_value
0,0,0,1,1,0,0.5,0.6708560585975647,0.0034903432242572308,T,10
0,0,1,1,1,0,0.5,0.6257416009902954,0.002646536799147725,T,10
0,0,2,0,0,0,0.5,0.37142467498779297,0.005206888075917959,T,10
0,0,3,0,1,0,0.5,0.5721209049224854,0.003160130465403199,T,10
0,0,4,1,1,0,0.5,0.6579253077507019,0.0015458145644515753,T,10
0,1,0,1,1,0,0.20000000298023224,0.7766295075416565,0.00024522937019355595,T,10
0,1,1,1,1,0,0.20000000298023224,0.6999017596244812,9.293830953538418e-05,T,10
0,1,2,0,0,0,0.800000011920929,0.22051052749156952,0.0005212945397943258,T,10
0,1,3,0,1,0,0.20000000298023224,0.5096445083618164,0.0003544077917467803,T,10
0,1,4,1,1,0,0.20000000298023224,0.6995959877967834,8.241680188803002e-05,T,10
0,2,0,1,1,0,0.09734101593494415,0.8222559094429016,0.00013521396613214165,T,10
0,2,1,1,1,0,0.09734101593494415,0.6848991513252258,4.1116218199022114e-05,T,10
0,2,2,0,0,0,0.902658998966217,0.1466272622346878,0.0002775785978883505,T,10
0,2,3,0,0,0,0.09734101593494415,0.40026867389678955,0.00020361930364742875,T,10
0,2,4,1,1,0,0.09734101593494415,0.7098752856254578,4.717454794445075e-05,T,10
0,3,0,1,1,0,0.060818564146757126,0.8284170031547546,0.00011859443475259468,T,10
0,3,1,1,1,0,0.060818564146757126,0.6347784996032715,3.2178304536500946e-05,T,10
0,3,2,0,0,0,0.9391814470291138,0.11626312881708145,0.0002444091369397938,T,10
0,3,3,0,0,0,0.5088678598403931,0.3403734266757965,0.00017186840705107898,T,10
0,3,4,1,1,0,0.060818564146757126,0.6763830184936523,4.1337840229971334e-05,T,10
0,4,0,1,1,0,0.04537151753902435,0.8153490424156189,0.00010880462650675327,T,10
0,4,1,1,1,0,0.04537151753902435,0.5494059920310974,2.7715732358046807e-05,T,10
0,4,2,0,0,0,0.9546284675598145,0.09199856221675873,0.00020529853645712137,T,10
0,4,3,0,0,0,0.8034204840660095,0.28766265511512756,0.000151107189594768,T,10
0,4,4,1,1,0,0.04537151753902435,0.6802403926849365,3.8648315239697695e-05,T,10
0,5,0,1,1,0,0.03790419548749924,0.8147763609886169,0.00010595485946396366,T,10
0,5,1,1,0,0,0.03790419548749924,0.4780947268009186,2.5822793759289198e-05,T,10
0,5,2,0,0,0,0.9620957970619202,0.0720130130648613,0.00019017417798750103,T,10
0,5,3,0,0,0,0.9037996530532837,0.2632876932621002,0.00013926268729846925,T,10
0,5,4,1,1,0,0.03790419548749924,0.6720181703567505,3.907852078555152e-05,T,10
0,6,0,1,1,0,0.033965762704610825,0.803153395652771,9.418540867045522e-05,T,10
0,6,1,1,0,0,0.3600245714187622,0.4111118018627167,2.360307553317398e-05,T,10
0,6,2,0,0,0,0.9660342335700989,0.07286839187145233,0.00016235622751992196,T,10
0,6,3,0,0,0,0.939631998538971,0.2702736556529999,0.00012998655438423157,T,10
0,6,4,1,1,0,0.033965762704610825,0.6256871819496155,3.499417289276607e-05,T,10
0,7,0,1,1,0,0.03177250549197197,0.7586727142333984,8.899644308257848e-05,T,10
0,7,1,1,0,0,0.7383447289466858,0.42814528942108154,2.1558917069341987e-05,T,10
0,7,2,0,0,0,0.9682275056838989,0.0925847515463829,0.00015142741904128343,T,10
0,7,3,0,0,0,0.9548359513282776,0.38577619194984436,0.00012021909788018093,T,10
