seed,learning_rate,training_iteration,time_total_s,timesteps_total,episode_reward_mean,episode_len_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,defender_entropy,attacker_entropy,defender_vf_loss,attacker_vf_loss
0,5e-05,1,1.4316918849945068,256,-878.4,50.0,-414.2,-464.2,0.03843102231621742,0.019818412140011787,3.4156831204891205,3.3892533481121063,9.886251449584961,9.533324956893921
0,5e-05,2,2.8301377296447754,512,-902.3,50.0,-353.0,-549.3,-0.007361290976405144,-0.0057038115337491035,3.428869277238846,3.3715438842773438,9.68427586555481,9.818968296051025
0,5e-05,3,4.2214555740356445,768,-899.6,50.0,-328.6666666666667,-570.9333333333333,-0.009044714272022247,-0.01269468292593956,3.425069034099579,3.3106711506843567,9.991448283195496,9.892254114151001
0,5e-05,4,5.647335529327393,1024,-899.7,50.0,-325.9,-573.8,-0.007232986390590668,-0.005454998463392258,3.423652470111847,3.2736232578754425,9.997737884521484,10.0
0,5e-05,5,7.093237400054932,1280,-887.92,50.0,-271.4,-616.52,-0.009430321108084172,-0.009934811852872372,3.391144275665283,3.2665094137191772,9.857333064079285,9.918168425559998
0,5e-05,6,8.51318621635437,1536,-884.2666666666667,50.0,-261.26666666666665,-623.0,-0.015795297920703888,-0.011563807725906372,3.351281553506851,3.270906627178192,9.690514087677002,10.0
0,5e-05,7,9.920189380645752,1792,-881.8857142857142,50.0,-280.6857142857143,-601.2,-0.007693078368902206,-0.004520252346992493,3.32752725481987,3.2799654603004456,9.626394271850586,9.92682158946991
0,5e-05,8,11.322235345840454,2048,-880.175,50.0,-317.175,-563.0,-0.009838428348302841,-0.004540747089777142,3.3194706737995148,3.218840092420578,9.879224419593811,9.418236374855042
0,5e-05,9,12.73340654373169,2304,-866.5869565217391,50.0,-308.4347826086956,-558.1521739130435,-0.007965936325490475,-0.0066647958010435104,3.2671158015727997,3.2130737900733948,9.886577010154724,9.818538069725037
0,5e-05,10,14.12976861000061,2560,-859.9019607843137,50.0,-311.2549019607843,-548.6470588235294,-0.005161205306649208,-0.008853932842612267,3.1993376910686493,3.1769056916236877,9.549757242202759,9.942904829978943
0,5e-05,11,15.52503752708435,2816,-852.625,50.0,-312.5892857142857,-540.0357142857143,-0.007294517010450363,-0.004571637604385614,3.1771540343761444,3.1335823833942413,9.835913300514221,9.928962111473083
0,5e-05,12,16.963011503219604,3072,-840.3934426229508,50.0,-309.11475409836066,-531.2786885245902,-0.01383749395608902,-0.0033336281776428223,3.213847041130066,3.0823704302310944,9.879337310791016,9.656697869300842
0,5e-05,13,18.378111600875854,3328,-829.9090909090909,50.0,-299.6212121212121,-530.2878787878788,-0.006298057734966278,-0.007512688636779785,3.1652325093746185,3.034130334854126,9.94050419330597,9.883751630783081
0,5e-05,14,19.792072534561157,3584,-821.887323943662,50.0,-299.6619718309859,-522.2253521126761,-0.0024765226989984512,-0.01203547790646553,3.140108674764633,2.985834300518036,9.736754059791565,9.630026578903198
0,5e-05,15,21.197381496429443,3840,-816.6315789473684,50.0,-309.8157894736842,-506.8157894736842,-0.005917148664593697,-0.012459689751267433,3.1200615763664246,2.8839603662490845,9.901242852210999,9.805846571922302
