scenario,scenario_label,initial_belief,gamma,horizon,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility,mean_attack_probability,terminal_public_belief_mean,terminal_uncertainty_probability
scenario_a,场景 A,0.65,0.5,1,-4.786111111111113,2.3000000000000003,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,2,-7.179166666666669,3.450000000000001,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,3,-8.375694444444447,4.025000000000001,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,4,-8.973958333333337,4.3125,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,5,-9.273090277777783,4.456250000000001,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,6,-9.422656250000005,4.528125,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,7,-9.497439236111116,4.5640625,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,8,-9.534830729166671,4.58203125,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,9,-9.553526475694449,4.591015625,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,10,-9.562874348958339,4.5955078125,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,11,-9.567548285590282,4.59775390625,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,12,-9.569885253906255,4.598876953125,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,13,-9.571053738064242,4.5994384765625,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,14,-9.571637980143235,4.59971923828125,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.5,15,-9.571930101182732,4.599859619140625,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,1,-4.786111111111113,2.3000000000000003,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,2,-7.897083333333336,3.7950000000000017,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,3,-9.919215277777782,4.766750000000001,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,4,-11.23360104166667,5.398387500000002,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,5,-12.08795178819445,5.808951875000001,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,6,-12.643279773437504,6.075818718750001,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,7,-13.00424296384549,6.249282167187501,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,8,-13.238869037610682,6.362033408671877,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,9,-13.391375985558057,6.435321715636721,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,10,-13.49050550172385,6.482959115163869,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,11,-13.554939687231618,6.5139234248565145,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,12,-13.596821907811666,6.534050226156736,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,13,-13.624045351188691,6.547132647001878,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,14,-13.641740589383765,6.5556362205512215,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.65,15,-13.653242494210561,6.561163543358295,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,1,-4.786111111111113,2.3000000000000003,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.8,2,-8.615000000000002,4.1400000000000015,0.8930555555555556,0.6500003500000001,0.77
