parameter_name,parameter_label,scenario,scenario_label,strategy_label,parameter_value,initial_belief,threshold_belief,strategy_name,cumulative_defender_utility,cumulative_attacker_utility,mean_attack_probability,terminal_attack_probability,terminal_public_belief_mean,terminal_uncertainty_probability,feasible,error_message
c_theta1,真实系统伪装成本 c_theta1,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,2.0,0.65,0.5454545454545454,recursive_pbne_production,-46.88888888888889,23.00000000000001,0.9144444444444446,0.9144444444444444,0.6500003500000001,0.77,True,
c_theta1,真实系统伪装成本 c_theta1,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,2.5,0.65,0.5454545454545454,recursive_pbne_production,-47.86111111111112,23.000000000000004,0.8930555555555557,0.8930555555555557,0.6500003500000001,0.77,True,
c_theta1,真实系统伪装成本 c_theta1,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,3.0,0.65,0.5454545454545454,recursive_pbne_production,-48.833333333333336,23.000000000000007,0.8716666666666668,0.8716666666666668,0.6500003500000001,0.77,True,
c_theta1,真实系统伪装成本 c_theta1,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,3.5,0.65,0.5454545454545454,recursive_pbne_production,-49.80555555555555,23.000000000000004,0.8502777777777777,0.8502777777777778,0.6500003500000001,0.77,True,
c_theta1,真实系统伪装成本 c_theta1,scenario_b,场景 B,递归 PBNE 策略（以假乱真）,1.0,0.35,0.5454545454545454,recursive_pbne_honeypot,12.494999999999996,0.0,0.086625,0.08662500000000001,0.35000029166666663,0.6416666666666666,True,
c_theta1,真实系统伪装成本 c_theta1,scenario_b,场景 B,递归 PBNE 策略（以假乱真）,1.5,0.35,0.5454545454545454,recursive_pbne_honeypot,12.494999999999996,0.0,0.086625,0.08662500000000001,0.35000029166666663,0.6416666666666666,True,
c_theta1,真实系统伪装成本 c_theta1,scenario_b,场景 B,递归 PBNE 策略（以假乱真）,2.0,0.35,0.5454545454545454,recursive_pbne_honeypot,12.494999999999996,0.0,0.086625,0.08662500000000001,0.35000029166666663,0.6416666666666666,True,
c_theta1,真实系统伪装成本 c_theta1,scenario_b,场景 B,递归 PBNE 策略（以假乱真）,2.5,0.35,0.5454545454545454,recursive_pbne_honeypot,12.494999999999996,0.0,0.086625,0.08662500000000001,0.35000029166666663,0.6416666666666666,True,
c_theta1,真实系统伪装成本 c_theta1,scenario_b,场景 B,递归 PBNE 策略（以假乱真）,3.0,0.35,0.5454545454545454,recursive_pbne_honeypot,12.494999999999996,0.0,0.086625,0.08662500000000001,0.35000029166666663,0.6416666666666666,True,
c_theta1,真实系统伪装成本 c_theta1,scenario_b,场景 B,递归 PBNE 策略（以假乱真）,3.5,0.35,0.5454545454545454,recursive_pbne_honeypot,12.494999999999996,0.0,0.086625,0.08662500000000001,0.35000029166666663,0.6416666666666666,True,
c_theta2,蜜罐系统伪装成本 c_theta2,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,0.9,0.65,0.5454545454545454,recursive_pbne_production,-47.86111111111112,23.000000000000004,0.8930555555555557,0.8930555555555557,0.6500003500000001,0.77,True,
c_theta2,蜜罐系统伪装成本 c_theta2,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,1.1,0.65,0.5454545454545454,recursive_pbne_production,-47.86111111111112,23.000000000000004,0.8930555555555557,0.8930555555555557,0.6500003500000001,0.77,True,
c_theta2,蜜罐系统伪装成本 c_theta2,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,1.3,0.65,0.5454545454545454,recursive_pbne_production,-47.86111111111112,23.000000000000004,0.8930555555555557,0.8930555555555557,0.6500003500000001,0.77,True,
c_theta2,蜜罐系统伪装成本 c_theta2,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,1.5,0.65,0.5454545454545454,recursive_pbne_production,-47.86111111111112,23.000000000000004,0.8930555555555557,0.8930555555555557,0.6500003500000001,0.77,True,
c_theta2,蜜罐系统伪装成本 c_theta2,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,1.7,0.65,0.5454545454545454,recursive_pbne_production,-47.86111111111112,23.000000000000004,0.8930555555555557,0.8930555555555557,0.6500003500000001,0.77,True,
c_theta2,蜜罐系统伪装成本 c_theta2,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,1.9,0.65,0.5454545454545454,recursive_pbne_production,-47.86111111111112,23.000000000000004,0.8930555555555557,0.8930555555555557,0.6500003500000001,0.77,True,
c_theta2,蜜罐系统伪装成本 c_theta2,scenario_b,场景 B,递归 PBNE 策略（以假乱真）,0.9,0.35,0.5454545454545454,recursive_pbne_honeypot,15.329999999999997,-1.1102230246251565e-16,0.05774999999999998,0.057749999999999996,0.35000029166666663,0.6416666666666666,True,
c_theta2,蜜罐系统伪装成本 c_theta2,scenario_b,场景 B,递归 PBNE 策略（以假乱真）,1.1,0.35,0.5454545454545454,recursive_pbne_honeypot,14.069999999999999,1.6653345369377348e-16,0.07058333333333333,0.07058333333333333,0.35000029166666663,0.6416666666666666,True,
c_theta2,蜜罐系统伪装成本 c_theta2,scenario_b,场景 B,递归 PBNE 策略（以假乱真）,1.35,0.35,0.5454545454545454,recursive_pbne_honeypot,12.494999999999996,0.0,0.086625,0.08662500000000001,0.35000029166666663,0.6416666666666666,True,
c_theta2,蜜罐系统伪装成本 c_theta2,scenario_b,场景 B,递归 PBNE 策略（以假乱真）,1.5,0.35,0.5454545454545454,recursive_pbne_honeypot,11.549999999999995,0.0,0.09624999999999997,0.09624999999999999,0.35000029166666663,0.6416666666666666,True,
c_theta2,蜜罐系统伪装成本 c_theta2,scenario_b,场景 B,递归 PBNE 策略（以假乱真）,1.7,0.35,0.5454545454545454,recursive_pbne_honeypot,10.290000000000001,-1.1102230246251565e-15,0.10908333333333331,0.10908333333333331,0.35000029166666663,0.6416666666666666,True,
c_theta2,蜜罐系统伪装成本 c_theta2,scenario_b,场景 B,递归 PBNE 策略（以假乱真）,1.9,0.35,0.5454545454545454,recursive_pbne_honeypot,9.03,-1.1102230246251565e-15,0.12191666666666665,0.12191666666666665,0.35000029166666663,0.6416666666666666,True,
