scenario,scenario_label,initial_belief,gamma,stage,mechanism_label,equilibrium_attack_probability,camouflage_probability,discounted_cumulative_defender_utility,mean_attack_probability,terminal_uncertainty_probability
scenario_a,场景 A,0.65,0.5,1,y_t,0.8611111111111112,0.6461538461538461,-9.562874348958339,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.5,2,y_t,0.8611111111111112,0.6461538461538461,-9.562874348958339,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.5,3,y_t,0.8611111111111112,0.6461538461538461,-9.562874348958339,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.5,4,y_t,0.8611111111111112,0.6461538461538461,-9.562874348958339,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.5,5,y_t,0.8611111111111112,0.6461538461538461,-9.562874348958339,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.5,6,y_t,0.8611111111111112,0.6461538461538461,-9.562874348958339,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.5,7,y_t,0.8611111111111112,0.6461538461538461,-9.562874348958339,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.5,8,y_t,0.8611111111111112,0.6461538461538461,-9.562874348958339,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.5,9,y_t,0.861111111111111,0.6461538461538461,-9.562874348958339,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.5,10,y_t,0.8611111111111112,0.6461538461538461,-9.562874348958339,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.65,1,y_t,0.8611111111111112,0.6461538461538461,-13.49050550172385,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.65,2,y_t,0.8611111111111112,0.6461538461538461,-13.49050550172385,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.65,3,y_t,0.8611111111111114,0.6461538461538461,-13.49050550172385,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.65,4,y_t,0.8611111111111109,0.6461538461538461,-13.49050550172385,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.65,5,y_t,0.8611111111111112,0.6461538461538461,-13.49050550172385,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.65,6,y_t,0.8611111111111112,0.6461538461538461,-13.49050550172385,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.65,7,y_t,0.8611111111111109,0.6461538461538461,-13.49050550172385,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.65,8,y_t,0.8611111111111112,0.6461538461538461,-13.49050550172385,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.65,9,y_t,0.861111111111111,0.6461538461538461,-13.49050550172385,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.65,10,y_t,0.8611111111111112,0.6461538461538461,-13.49050550172385,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.8,1,y_t,0.8611111111111112,0.6461538461538461,-21.36103171840001,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.8,2,y_t,0.8611111111111112,0.6461538461538461,-21.36103171840001,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.8,3,y_t,0.8611111111111112,0.6461538461538461,-21.36103171840001,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.8,4,y_t,0.8611111111111112,0.6461538461538461,-21.36103171840001,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.8,5,y_t,0.8611111111111112,0.6461538461538461,-21.36103171840001,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.8,6,y_t,0.8611111111111112,0.6461538461538461,-21.36103171840001,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.8,7,y_t,0.8611111111111112,0.6461538461538461,-21.36103171840001,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.8,8,y_t,0.8611111111111112,0.6461538461538461,-21.36103171840001,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.8,9,y_t,0.861111111111111,0.6461538461538461,-21.36103171840001,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.8,10,y_t,0.8611111111111112,0.6461538461538461,-21.36103171840001,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.95,1,y_t,0.8611111111111112,0.6461538461538461,-38.40979187179296,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.95,2,y_t,0.8611111111111112,0.6461538461538461,-38.40979187179296,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.95,3,y_t,0.8611111111111112,0.6461538461538461,-38.40979187179296,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.95,4,y_t,0.8611111111111112,0.6461538461538461,-38.40979187179296,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.95,5,y_t,0.8611111111111112,0.6461538461538461,-38.40979187179296,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.95,6,y_t,0.8611111111111112,0.6461538461538461,-38.40979187179296,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.95,7,y_t,0.8611111111111112,0.6461538461538461,-38.40979187179296,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.95,8,y_t,0.8611111111111112,0.6461538461538461,-38.40979187179296,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.95,9,y_t,0.861111111111111,0.6461538461538461,-38.40979187179296,0.8930555555555557,0.77
scenario_a,场景 A,0.65,0.95,10,y_t,0.8611111111111112,0.6461538461538461,-38.40979187179296,0.8930555555555557,0.77
scenario_b,场景 B,0.25,0.5,1,q_t,0.3,0.2777777777777778,0.2997070312500001,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.5,2,q_t,0.29999999999999993,0.2777777777777778,0.2997070312500001,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.5,3,q_t,0.3,0.2777777777777778,0.2997070312500001,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.5,4,q_t,0.3,0.2777777777777778,0.2997070312500001,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.5,5,q_t,0.29999999999999993,0.2777777777777778,0.2997070312500001,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.5,6,q_t,0.3,0.2777777777777778,0.2997070312500001,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.5,7,q_t,0.3,0.2777777777777778,0.2997070312500001,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.5,8,q_t,0.29999999999999993,0.2777777777777778,0.2997070312500001,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.5,9,q_t,0.3,0.2777777777777778,0.2997070312500001,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.5,10,q_t,0.3,0.2777777777777778,0.2997070312500001,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.65,1,q_t,0.3,0.2777777777777778,0.4228016814237307,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.65,2,q_t,0.29999999999999993,0.2777777777777778,0.4228016814237307,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.65,3,q_t,0.3,0.2777777777777778,0.4228016814237307,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.65,4,q_t,0.29999999999999993,0.2777777777777778,0.4228016814237307,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.65,5,q_t,0.3,0.2777777777777778,0.4228016814237307,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.65,6,q_t,0.3,0.2777777777777778,0.4228016814237307,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.65,7,q_t,0.29999999999999993,0.2777777777777778,0.4228016814237307,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.65,8,q_t,0.3,0.2777777777777778,0.4228016814237307,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.65,9,q_t,0.29999999999999993,0.2777777777777778,0.4228016814237307,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.65,10,q_t,0.3,0.2777777777777778,0.4228016814237307,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.8,1,q_t,0.29999999999999993,0.2777777777777778,0.6694693632000004,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.8,2,q_t,0.3,0.2777777777777778,0.6694693632000004,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.8,3,q_t,0.29999999999999993,0.2777777777777778,0.6694693632000004,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.8,4,q_t,0.3,0.2777777777777778,0.6694693632000004,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.8,5,q_t,0.29999999999999993,0.2777777777777778,0.6694693632000004,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.8,6,q_t,0.3,0.2777777777777778,0.6694693632000004,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.8,7,q_t,0.29999999999999993,0.2777777777777778,0.6694693632000004,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.8,8,q_t,0.3,0.2777777777777778,0.6694693632000004,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.8,9,q_t,0.29999999999999993,0.2777777777777778,0.6694693632000004,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.8,10,q_t,0.3,0.2777777777777778,0.6694693632000004,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.95,1,q_t,0.29999999999999993,0.2777777777777778,1.2037891822848639,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.95,2,q_t,0.3,0.2777777777777778,1.2037891822848639,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.95,3,q_t,0.29999999999999993,0.2777777777777778,1.2037891822848639,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.95,4,q_t,0.3,0.2777777777777778,1.2037891822848639,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.95,5,q_t,0.29999999999999993,0.2777777777777778,1.2037891822848639,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.95,6,q_t,0.3,0.2777777777777778,1.2037891822848639,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.95,7,q_t,0.29999999999999993,0.2777777777777778,1.2037891822848639,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.95,8,q_t,0.3,0.2777777777777778,1.2037891822848639,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.95,9,q_t,0.29999999999999993,0.2777777777777778,1.2037891822848639,0.13749999999999996,0.4583333333333331
scenario_b,场景 B,0.25,0.95,10,q_t,0.3,0.2777777777777778,1.2037891822848639,0.13749999999999996,0.4583333333333331
