scenario,scenario_label,initial_belief,gamma,c_theta1,c_theta2,strategy,strategy_label,horizon,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility,undiscounted_cumulative_defender_utility,undiscounted_cumulative_attacker_utility,mean_attack_probability,terminal_public_belief_mean,terminal_uncertainty_probability
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,1,1.2494999999999996,0.0,1.2494999999999996,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,2,2.3115749999999995,0.0,2.498999999999999,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,3,3.214338749999999,0.0,3.748499999999999,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,4,3.981687937499999,0.0,4.997999999999998,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,5,4.633934746874998,0.0,6.247499999999998,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,6,5.188344534843748,0.0,7.496999999999997,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,7,5.659592854617185,0.0,8.746499999999997,0.0,0.08662500000000002,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,8,6.060153926424607,0.0,9.995999999999997,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,9,6.400630837460915,0.0,11.245499999999996,0.0,0.08662500000000001,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,10,6.690036211841777,0.0,12.494999999999996,0.0,0.086625,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,11,6.93603078006551,0.0,13.744499999999995,0.0,0.086625,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,12,7.145126163055682,0.0,14.993999999999994,0.0,0.086625,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,13,7.322857238597329,0.0,16.243499999999994,0.0,0.08662499999999998,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,14,7.4739286528077296,0.0,17.492999999999995,0.0,0.08662499999999998,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,recursive_pbne,递归 PBNE 策略（以假乱真）,15,7.60233935488657,0.0,18.742499999999996,0.0,0.08662499999999998,0.35000029166666663,0.6416666666666666
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,1,-4.199999999999999,3.5,-4.199999999999999,3.5,0.35,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,2,-7.769999999999999,6.475,-8.399999999999999,7.0,0.35,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,3,-10.804499999999997,9.00375,-12.599999999999998,10.5,0.3499999999999999,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,4,-13.383824999999996,11.1531875,-16.799999999999997,14.0,0.35,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,5,-15.576251249999995,12.980209375,-20.999999999999996,17.5,0.35,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,6,-17.439813562499996,14.53317796875,-25.199999999999996,21.0,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,7,-19.023841528124997,15.853201273437499,-29.399999999999995,24.5,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,8,-20.370265298906247,16.975221082421875,-33.599999999999994,28.0,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,9,-21.51472550407031,17.928937920058594,-37.8,31.5,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,10,-22.487516678459762,18.739597232049803,-42.0,35.0,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,11,-23.314389176690796,19.428657647242332,-46.2,38.5,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,12,-24.017230800187175,20.01435900015598,-50.400000000000006,42.0,0.35000000000000003,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,13,-24.6146461801591,20.512205150132583,-54.60000000000001,45.5,0.35,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,14,-25.122449253135233,20.935374377612696,-58.80000000000001,49.0,0.35,0.35,0.0
scenario_b,场景 B,0.35,0.85,2.5,1.35,truthful_baseline,真实披露基线,15,-25.554081865164946,21.29506822097079,-63.000000000000014,52.5,0.3499999999999999,0.35,0.0
