scenario,scenario_label,initial_belief,gamma,c_theta1,c_theta2,strategy,strategy_label,horizon,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility,undiscounted_cumulative_defender_utility,undiscounted_cumulative_attacker_utility,mean_attack_probability,terminal_public_belief_mean,terminal_uncertainty_probability
scenario_a,场景 A,0.65,0.85,2.5,1.5,static_random_baseline,随机伪装基线,4,-14.986414168233956,12.243497454574422,-19.78913744196632,16.199520801092405,0.5012380200273101,0.6500002174201912,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,static_random_baseline,随机伪装基线,5,-18.918244257591574,15.254357400050875,-27.32128880865516,21.967382671475093,0.516347653429502,0.6500000606115837,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,static_random_baseline,随机伪装基线,6,-22.467206573736835,17.928536542701018,-35.31975584559257,27.994308803106986,0.5307384800517831,0.6500000037138483,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,static_random_baseline,随机伪装基线,7,-25.597464090534597,20.264721896217136,-43.619534546382894,34.188630303546056,0.5434090043363723,0.6500001208880802,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,static_random_baseline,随机伪装基线,8,-28.320597316216574,22.285154078041323,-52.11400693766279,40.491114965368226,0.5542639370671029,0.6499998536156952,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,static_random_baseline,随机伪装基线,9,-30.669540432040385,24.021565807033067,-60.73428140587443,46.863489669930246,0.5634832185547806,0.6499998190080821,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,static_random_baseline,随机伪装基线,10,-32.68496964205356,25.5079755330999,-69.43584336994964,53.28102409441647,0.5713102409441648,0.6499999199568978,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,static_random_baseline,随机伪装基线,11,-34.4084251466847,26.777168620323344,-78.1899295621213,59.727738645622956,0.5779794422329361,0.6499999619796593,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,static_random_baseline,随机伪装基线,12,-35.879041743120894,27.859137976407563,-86.97795448629378,66.19330804794099,0.5836942337328417,0.6499998290770057,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,static_random_baseline,随机伪装基线,13,-37.132185160933815,28.780544879547016,-95.78790905268215,72.67106058482341,0.5886235429601802,0.6499999051859474,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,static_random_baseline,随机伪装基线,14,-38.199070287568105,29.564692536934054,-104.6120335417331,79.15668530096282,0.5929048950068774,0.6499998511050403,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,static_random_baseline,随机伪装基线,15,-39.106863599165884,30.231740797912277,-113.44531398081217,85.64739665600675,0.596649311040045,0.6500000442087127,0.0
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,1,-4.786111111111113,2.3000000000000003,-4.786111111111113,2.3000000000000003,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,2,-8.854305555555559,4.255000000000001,-9.572222222222226,4.600000000000001,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,3,-12.312270833333336,5.91675,-14.358333333333336,6.900000000000002,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,4,-15.25154131944445,7.329237500000001,-19.144444444444453,9.200000000000003,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,5,-17.74992123263889,8.529851875000002,-23.930555555555557,11.500000000000004,0.8930555555555555,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,6,-19.87354415885417,9.550374093750001,-28.71666666666667,13.800000000000004,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,7,-21.67862364613716,10.417817979687502,-33.50277777777779,16.100000000000005,0.8930555555555556,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,8,-23.212941210327692,11.155145282734377,-38.2888888888889,18.400000000000006,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,9,-24.517111139889654,11.781873490324221,-43.07500000000001,20.700000000000003,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,10,-25.625655580017312,12.314592466775588,-47.86111111111112,23.000000000000004,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,11,-26.56791835412583,12.76740359675925,-52.64722222222223,25.300000000000008,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,12,-27.36884171211807,13.152293057245362,-57.433333333333344,27.600000000000005,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,13,-28.049626566411472,13.479449098658558,-62.219444444444456,29.900000000000006,0.8930555555555557,0.6500003500000001,0.77
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,14,-28.628293692560856,13.757531733859773,-67.00555555555557,32.20000000000001,0.8930555555555557,0.6500003500000001,0.77
