scenario,scenario_label,initial_belief,gamma,c_theta1,c_theta2,strategy,strategy_label,cumulative_defender_utility,cumulative_attacker_utility,discounted_cumulative_defender_utility,discounted_cumulative_attacker_utility
scenario_a,场景 A,0.65,0.85,2.5,1.5,truthful_baseline,真实披露基线,-77.99999999999999,65.0,-47.457580606734915,39.547983838945754
scenario_a,场景 A,0.65,0.85,2.5,1.5,full_pooling_baseline,完全混同基线,-59.25,23.000000000000007,-36.049508345500556,13.993901973780808
scenario_a,场景 A,0.65,0.85,2.5,1.5,static_random_baseline,随机伪装基线,-69.43584336994964,53.28102409441647,-39.106863599165884,30.231740797912277
scenario_a,场景 A,0.65,0.85,2.5,1.5,recursive_pbne,递归 PBNE 策略,-47.86111111111112,23.000000000000004,-29.120160749787836,13.993901973780808
scenario_b,场景 B,0.25,0.85,2.5,3.0,truthful_baseline,真实披露基线,-30.0,25.0,-18.252915617974953,15.210763014979136
scenario_b,场景 B,0.25,0.85,2.5,3.0,full_pooling_baseline,完全混同基线,-7.5,0.0,-4.563228904493738,0.0
scenario_b,场景 B,0.25,0.85,2.5,3.0,static_random_baseline,随机伪装基线,-32.157059171795204,21.538471006154253,-18.12000031219133,11.938035743545036
scenario_b,场景 B,0.25,0.85,2.5,3.0,recursive_pbne,递归 PBNE 策略,1.5000000000000007,4.218847493575595e-15,0.9126457808987486,2.410483579778555e-15
