parameter_name,parameter_label,scenario,scenario_label,strategy_label,parameter_value,initial_belief,threshold_belief,strategy_name,cumulative_defender_utility,cumulative_attacker_utility,mean_attack_probability,terminal_attack_probability,terminal_public_belief_mean,terminal_uncertainty_probability,feasible,error_message
prior_theta1,初始公共信念 p1,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,0.56,0.56,0.5454545454545454,recursive_pbne_production,-29.31111111111113,3.200000000000011,0.8655555555555556,0.8655555555555556,0.56000044,0.9679999999999999,True,
prior_theta1,初始公共信念 p1,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,0.6,0.6,0.5454545454545454,recursive_pbne_production,-37.55555555555556,12.0,0.8777777777777777,0.8777777777777778,0.6000004,0.8799999999999999,True,
prior_theta1,初始公共信念 p1,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,0.65,0.65,0.5454545454545454,recursive_pbne_production,-47.86111111111112,23.000000000000004,0.8930555555555557,0.8930555555555557,0.6500003500000001,0.77,True,
prior_theta1,初始公共信念 p1,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,0.7,0.7,0.5454545454545454,recursive_pbne_production,-58.16666666666666,33.999999999999986,0.9083333333333332,0.9083333333333332,0.7000003,0.6600000000000001,True,
prior_theta1,初始公共信念 p1,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,0.75,0.75,0.5454545454545454,recursive_pbne_production,-68.47222222222223,45.0,0.9236111111111109,0.9236111111111112,0.75000025,0.5499999999999999,True,
prior_theta1,初始公共信念 p1,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,0.8,0.8,0.5454545454545454,recursive_pbne_production,-78.7777777777778,56.000000000000014,0.9388888888888888,0.9388888888888889,0.8000002,0.43999999999999995,True,
prior_theta1,初始公共信念 p1,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,0.84,0.84,0.5454545454545454,recursive_pbne_production,-87.0222222222222,64.79999999999998,0.9511111111111108,0.951111111111111,0.84000016,0.3520000000000001,True,
prior_theta1,初始公共信念 p1,scenario_b,场景 B,递归 PBNE 策略,0.12,0.12,0.5454545454545454,recursive_pbne_honeypot,0.7200000000000003,2.7755575615628914e-16,0.06599999999999998,0.06599999999999999,0.12000009999999998,0.21999999999999997,True,
prior_theta1,初始公共信念 p1,scenario_b,场景 B,递归 PBNE 策略,0.16,0.16,0.5454545454545454,recursive_pbne_honeypot,0.9600000000000004,4.6074255521944e-15,0.08799999999999995,0.08799999999999993,0.1600001333333332,0.2933333333333331,True,
prior_theta1,初始公共信念 p1,scenario_b,场景 B,递归 PBNE 策略,0.2,0.2,0.5454545454545454,recursive_pbne_honeypot,1.2000000000000008,5.551115123125783e-15,0.10999999999999995,0.10999999999999992,0.20000016666666653,0.3666666666666664,True,
prior_theta1,初始公共信念 p1,scenario_b,场景 B,递归 PBNE 策略,0.25,0.25,0.5454545454545454,recursive_pbne_honeypot,1.5000000000000007,4.218847493575595e-15,0.13749999999999996,0.13749999999999993,0.2500002083333332,0.4583333333333331,True,
prior_theta1,初始公共信念 p1,scenario_b,场景 B,递归 PBNE 策略,0.3,0.3,0.5454545454545454,recursive_pbne_honeypot,1.8000000000000007,2.7755575615628914e-15,0.16499999999999998,0.16499999999999992,0.3000002499999999,0.5499999999999998,True,
prior_theta1,初始公共信念 p1,scenario_b,场景 B,递归 PBNE 策略,0.35,0.35,0.5454545454545454,recursive_pbne_honeypot,2.100000000000001,0.0,0.19249999999999995,0.19249999999999998,0.35000029166666663,0.6416666666666666,True,
prior_theta1,初始公共信念 p1,scenario_b,场景 B,递归 PBNE 策略,0.4,0.4,0.5454545454545454,recursive_pbne_honeypot,2.4000000000000017,1.1102230246251565e-14,0.2199999999999999,0.21999999999999983,0.40000033333333307,0.7333333333333328,True,
defender_loss,真实系统受攻击损失 l_d,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,8.0,0.65,0.5454545454545454,recursive_pbne_production,-35.46875000000001,23.000000000000004,0.8796875,0.8796875000000001,0.6500003500000001,0.77,True,
defender_loss,真实系统受攻击损失 l_d,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,10.0,0.65,0.5454545454545454,recursive_pbne_production,-47.86111111111112,23.000000000000004,0.8930555555555557,0.8930555555555557,0.6500003500000001,0.77,True,
defender_loss,真实系统受攻击损失 l_d,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,12.0,0.65,0.5454545454545454,recursive_pbne_production,-60.375000000000014,23.000000000000007,0.9037500000000003,0.90375,0.6500003500000001,0.77,True,
defender_loss,真实系统受攻击损失 l_d,scenario_a,场景 A,递归 PBNE 策略（以真乱假）,14.0,0.65,0.5454545454545454,recursive_pbne_production,-72.97727272727273,23.000000000000007,0.9124999999999999,0.9125,0.6500003500000001,0.77,True,
defender_loss,真实系统受攻击损失 l_d,scenario_b,场景 B,递归 PBNE 策略,8.0,0.25,0.5454545454545454,recursive_pbne_honeypot,3.0000000000000004,4.218847493575595e-15,0.13749999999999996,0.13749999999999993,0.2500002083333332,0.4583333333333331,True,
defender_loss,真实系统受攻击损失 l_d,scenario_b,场景 B,递归 PBNE 策略,10.0,0.25,0.5454545454545454,recursive_pbne_honeypot,1.5000000000000007,4.218847493575595e-15,0.13749999999999996,0.13749999999999993,0.2500002083333332,0.4583333333333331,True,
