run_name,seed,learning_rate,mean_reward,std_reward,mean_defender_reward,std_defender_reward,mean_attacker_reward,std_attacker_reward,final_avg_reward,convergence_step,training_time_s,reward_volatility,checkpoint_path,experiment_group
lr_sweep_2.0e-04,0,0.0002,307.7892133397608,128.44563212308535,329.01091474333884,41.769793509950084,-21.221701403578034,108.10834333139665,357.548,410,1261.694640159607,128.44563212308535,/home/sly/sg_marl_simulation_run/sg_marl_simulation/code/results/ch4/module1_convergence/logs/server_module1_formal_1000_lr_sweep_2.0e-04,learning_rate_sweep
lr_sweep_1.0e-04,0,0.0001,288.1264202598624,120.19000548872857,311.52852861143214,37.45612410656638,-23.40210835156972,102.64842324503576,301.3086666666667,189,1251.2317974567413,120.19000548872857,/home/sly/sg_marl_simulation_run/sg_marl_simulation/code/results/ch4/module1_convergence/logs/server_module1_formal_1000_lr_sweep_1.0e-04,learning_rate_sweep
lr_sweep_7.0e-05,0,7e-05,290.41827248699667,120.39077991315334,312.1159717126089,39.147259559879245,-21.697699225612173,102.12797840071296,346.64433333333335,414,1257.4129242897034,120.39077991315334,/home/sly/sg_marl_simulation_run/sg_marl_simulation/code/results/ch4/module1_convergence/logs/server_module1_formal_1000_lr_sweep_7.0e-05,learning_rate_sweep
lr_sweep_5.0e-05,0,5e-05,280.78605681356873,124.3395370266293,304.7716911641907,38.9960399419327,-23.985634350621975,106.36347462726202,324.897,408,1253.297978401184,124.3395370266293,/home/sly/sg_marl_simulation_run/sg_marl_simulation/code/results/ch4/module1_convergence/logs/server_module1_formal_1000_lr_sweep_5.0e-05,learning_rate_sweep
seed_stability_0,0,0.0001,288.1264202598624,120.19000548872857,311.52852861143214,37.45612410656638,-23.40210835156972,102.64842324503576,301.3086666666667,189,1255.2882599830627,120.19000548872857,/home/sly/sg_marl_simulation_run/sg_marl_simulation/code/results/ch4/module1_convergence/logs/server_module1_formal_1000_seed_stability_0,seed_stability
seed_stability_1,1,0.0001,267.12925291551505,146.12235680874625,303.6228384171199,50.269851006033726,-36.49358550160487,117.31785025191262,333.0853333333333,455,1249.1716468334198,146.12235680874625,/home/sly/sg_marl_simulation_run/sg_marl_simulation/code/results/ch4/module1_convergence/logs/server_module1_formal_1000_seed_stability_1,seed_stability
seed_stability_2,2,0.0001,286.21705233895995,150.19019784243335,317.0193745901139,32.11980175982947,-30.802322251153917,130.40089047862753,351.09233333333333,742,1253.9121353626251,150.19019784243335,/home/sly/sg_marl_simulation_run/sg_marl_simulation/code/results/ch4/module1_convergence/logs/server_module1_formal_1000_seed_stability_2,seed_stability
seed_stability_3,3,0.0001,267.7395047686302,164.51903801479648,307.8333937424294,42.301517796496114,-40.09388897379918,160.42106486316004,252.50066666666666,68,1251.8547990322113,164.51903801479648,/home/sly/sg_marl_simulation_run/sg_marl_simulation/code/results/ch4/module1_convergence/logs/server_module1_formal_1000_seed_stability_3,seed_stability
seed_stability_4,4,0.0001,283.2414079506091,124.85294835781114,308.34409548287437,35.2348113588855,-25.102687532265286,118.65723695428709,367.37666666666667,701,1252.5106358528137,124.85294835781114,/home/sly/sg_marl_simulation_run/sg_marl_simulation/code/results/ch4/module1_convergence/logs/server_module1_formal_1000_seed_stability_4,seed_stability
seed_stability_aggregate,aggregate,0.0001,278.49072764671536,141.17490930250315,309.6696461687939,39.47642120556224,-31.178918522078593,125.88909315860461,321.0727333333333,431.0,1252.5474954128265,141.17490930250315,,seed_stability_aggregate
