episode,step,system_idx,theta,signal,attacker_action,belief_real,defender_prob_signal_h,attacker_prob_attack,parameter_name,parameter_value
0,0,0,1,1,1,0.5,0.513481855392456,0.5386272072792053,c_theta2,0.6
0,0,1,1,0,0,0.5,0.44025281071662903,0.4880461096763611,c_theta2,0.6
0,0,2,0,1,0,0.5,0.572765588760376,0.35558900237083435,c_theta2,0.6
0,0,3,0,0,0,0.5,0.49026769399642944,0.2786954939365387,c_theta2,0.6
0,0,4,1,1,0,0.5,0.5358806252479553,0.4674530327320099,c_theta2,0.6
0,1,0,1,1,1,0.20000000298023224,0.6368784308433533,0.6779730916023254,c_theta2,0.6
0,1,1,1,0,0,0.800000011920929,0.42372551560401917,0.2412145435810089,c_theta2,0.6
0,1,2,0,1,0,0.20000000298023224,0.7117036581039429,0.23149627447128296,c_theta2,0.6
0,1,3,0,1,0,0.800000011920929,0.5223063230514526,0.1040288507938385,c_theta2,0.6
0,1,4,1,0,0,0.20000000298023224,0.47099635004997253,0.25380250811576843,c_theta2,0.6
0,2,0,1,1,1,0.09734101593494415,0.7140386700630188,0.6194251179695129,c_theta2,0.6
0,2,1,1,0,0,0.902658998966217,0.37489938735961914,0.22665417194366455,c_theta2,0.6
0,2,2,0,1,0,0.09734101593494415,0.7853229641914368,0.18700964748859406,c_theta2,0.6
0,2,3,0,1,0,0.36691737174987793,0.5294037461280823,0.03750583902001381,c_theta2,0.6
0,2,4,1,0,0,0.6330826282501221,0.4190305769443512,0.12311988323926926,c_theta2,0.6
0,3,0,1,1,1,0.060818564146757126,0.7606471180915833,0.5884099006652832,c_theta2,0.6
0,3,1,1,0,0,0.9391814470291138,0.38663449883461,0.21053187549114227,c_theta2,0.6
0,3,2,0,1,0,0.060818564146757126,0.8222222328186035,0.16235922276973724,c_theta2,0.6
0,3,3,0,1,0,0.15224052965641022,0.5806560516357422,0.02020413801074028,c_theta2,0.6
0,3,4,1,0,0,0.847759485244751,0.3514179289340973,0.07976122200489044,c_theta2,0.6
0,4,0,1,1,1,0.04537151753902435,0.7718815207481384,0.5596110224723816,c_theta2,0.6
0,4,1,1,0,0,0.9546284675598145,0.3740139603614807,0.1748119592666626,c_theta2,0.6
0,4,2,0,1,0,0.04537151753902435,0.8476329445838928,0.14167092740535736,c_theta2,0.6
0,4,3,0,1,0,0.08107800781726837,0.6172800660133362,0.012421212159097195,c_theta2,0.6
0,4,4,1,0,0,0.9189220070838928,0.31561318039894104,0.06521021574735641,c_theta2,0.6
0,5,0,1,1,0,0.03790419548749924,0.7911815047264099,0.47309285402297974,c_theta2,0.6
0,5,1,1,0,0,0.9620957970619202,0.35165935754776,0.17862291634082794,c_theta2,0.6
0,5,2,0,1,0,0.03790419548749924,0.8637719750404358,0.13922367990016937,c_theta2,0.6
0,5,3,0,1,0,0.05422702804207802,0.6020742058753967,0.011312132701277733,c_theta2,0.6
0,5,4,1,0,0,0.9457729458808899,0.2612365186214447,0.06951413303613663,c_theta2,0.6
0,6,0,1,1,0,0.033965762704610825,0.7318920493125916,0.4500381648540497,c_theta2,0.6
0,6,1,1,0,0,0.9660342335700989,0.32090869545936584,0.1771274209022522,c_theta2,0.6
0,6,2,0,1,0,0.033965762704610825,0.832451343536377,0.12363720685243607,c_theta2,0.6
0,6,3,0,1,0,0.04227931424975395,0.5828577876091003,0.010397921316325665,c_theta2,0.6
0,6,4,1,0,0,0.9577206969261169,0.2513089179992676,0.06651503592729568,c_theta2,0.6
0,7,0,1,1,0,0.03177250549197197,0.6746119260787964,0.43020710349082947,c_theta2,0.6
0,7,1,1,0,0,0.9682275056838989,0.32079848647117615,0.1579291969537735,c_theta2,0.6
0,7,2,0,1,0,0.03177250549197197,0.8003273606300354,0.11531168967485428,c_theta2,0.6
0,7,3,0,1,0,0.03630474582314491,0.5877424478530884,0.010161525569856167,c_theta2,0.6
0,7,4,1,0,0,0.963695228099823,0.24093443155288696,0.0649772584438324,c_theta2,0.6
0,8,0,1,1,0,0.03050963021814823,0.6626603603363037,0.3949234187602997,c_theta2,0.6
0,8,1,1,0,0,0.9694903492927551,0.32971930503845215,0.13959093391895294,c_theta2,0.6
0,8,2,0,1,0,0.03050963021814823,0.8019678592681885,0.10737349838018417,c_theta2,0.6
0,8,3,0,1,0,0.03308587521314621,0.5598544478416443,0.010422350838780403,c_theta2,0.6
0,8,4,1,0,0,0.9669141173362732,0.2617741823196411,0.06710970401763916,c_theta2,0.6
0,9,0,1,1,0,0.029767485335469246,0.6178972125053406,0.3709917962551117,c_theta2,0.6
0,9,1,1,0,0,0.9702324867248535,0.36215531826019287,0.12246692925691605,c_theta2,0.6
0,9,2,0,1,0,0.029767485335469246,0.7988654375076294,0.09835591167211533,c_theta2,0.6
0,9,3,0,1,0,0.031269680708646774,0.5523868203163147,0.012169482186436653,c_theta2,0.6
0,9,4,1,0,0,0.9687303304672241,0.29644641280174255,0.0655723437666893,c_theta2,0.6
0,10,0,1,1,0,0.029325908049941063,0.6394555568695068,0.3456517159938812,c_theta2,0.6
0,10,1,1,0,0,0.9706740975379944,0.40077754855155945,0.09700828790664673,c_theta2,0.6
0,10,2,0,1,0,0.029325908049941063,0.8107978701591492,0.0731024518609047,c_theta2,0.6
0,10,3,0,1,0,0.03021550364792347,0.5365778207778931,0.012722804211080074,c_theta2,0.6
0,10,4,1,0,0,0.9697844982147217,0.32994821667671204,0.06223263964056969,c_theta2,0.6
0,11,0,1,1,0,0.029061181470751762,0.6333832144737244,0.3286220133304596,c_theta2,0.6
0,11,1,1,0,0,0.9709388017654419,0.4106273949146271,0.08325544744729996,c_theta2,0.6
0,11,2,0,1,0,0.029061181470751762,0.8195376396179199,0.06758571416139603,c_theta2,0.6
0,11,3,0,1,0,0.029592974111437798,0.5355178713798523,0.013060650788247585,c_theta2,0.6
0,11,4,1,0,0,0.9704070091247559,0.3587956428527832,0.059042543172836304,c_theta2,0.6
0,12,0,1,1,0,0.02890174649655819,0.6238906383514404,0.3145637810230255,c_theta2,0.6
0,12,1,1,0,0,0.9710982441902161,0.42682841420173645,0.07909012585878372,c_theta2,0.6
0,12,2,0,1,0,0.02890174649655819,0.8252549171447754,0.06710024178028107,c_theta2,0.6
0,12,3,0,1,0,0.029221469536423683,0.5339786410331726,0.013248628936707973,c_theta2,0.6
0,12,4,1,0,0,0.9707785248756409,0.3921784460544586,0.057261813431978226,c_theta2,0.6
0,13,0,1,1,0,0.028805458918213844,0.6179354786872864,0.30314260721206665,c_theta2,0.6
0,13,1,1,0,0,0.9711945652961731,0.427590548992157,0.08040186017751694,c_theta2,0.6
0,13,2,0,1,0,0.028805458918213844,0.8227416276931763,0.061794962733983994,c_theta2,0.6
0,13,3,0,1,0,0.028998346999287605,0.5312701463699341,0.013217136263847351,c_theta2,0.6
0,13,4,1,0,0,0.9710016250610352,0.4042750895023346,0.05355510488152504,c_theta2,0.6
0,14,0,1,1,0,0.028747208416461945,0.618736207485199,0.29076850414276123,c_theta2,0.6
0,14,1,1,0,0,0.9712527990341187,0.42030030488967896,0.07859393954277039,c_theta2,0.6
0,14,2,0,1,0,0.028747208416461945,0.8156782388687134,0.05867037549614906,c_theta2,0.6
0,14,3,0,1,0,0.028863823041319847,0.5371610522270203,0.01257549598813057,c_theta2,0.6
0,14,4,1,0,0,0.9711361527442932,0.39302822947502136,0.0517343245446682,c_theta2,0.6
0,15,0,1,1,0,0.02871193364262581,0.6124972701072693,0.2946242690086365,c_theta2,0.6
0,15,1,1,0,0,0.9712880849838257,0.41946184635162354,0.07492837309837341,c_theta2,0.6
0,15,2,0,1,0,0.02871193364262581,0.8069053888320923,0.06174403429031372,c_theta2,0.6
0,15,3,0,1,0,0.028782524168491364,0.544048011302948,0.011924962513148785,c_theta2,0.6
0,15,4,1,0,0,0.9712174534797668,0.3802565634250641,0.048822272568941116,c_theta2,0.6
0,16,0,1,1,0,0.028690557926893234,0.6116639971733093,0.2897399663925171,c_theta2,0.6
0,16,1,1,0,0,0.9713094234466553,0.4197586178779602,0.07210370153188705,c_theta2,0.6
0,16,2,0,1,0,0.028690557926893234,0.8022695183753967,0.061775390058755875,c_theta2,0.6
0,16,3,0,1,0,0.028733324259519577,0.5512025952339172,0.01160579826682806,c_theta2,0.6
0,16,4,1,0,0,0.9712666869163513,0.37359845638275146,0.04718192294239998,c_theta2,0.6
0,17,0,1,1,0,0.028677601367235184,0.6124718189239502,0.28335991501808167,c_theta2,0.6
0,17,1,1,0,0,0.9713224172592163,0.42092379927635193,0.06952428072690964,c_theta2,0.6
