seed,training_iteration,episode_reward_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,time_total_s
0,31,-89.0,271.75,-360.75,-0.008232638239860535,-0.011773280799388885,48.31830835342407
0,32,-71.46,262.34,-333.8,-0.011953558772802353,-0.014338817447423935,49.86524844169617
0,33,-75.18,258.0,-333.18,-0.004696612246334553,-0.008665302768349648,51.43617534637451
0,34,-70.56,247.26,-317.82,-0.012636449187994003,-0.006237596273422241,53.00209331512451
0,35,-76.55,254.98,-331.53,-0.00877314805984497,-0.008858051151037216,54.54935836791992
0,36,-82.71,271.03,-353.74,-0.008188299834728241,-0.009687166661024094,56.0985803604126
0,37,-80.67,279.69,-360.36,-0.010080939158797264,-0.006579887121915817,57.637991428375244
0,38,-81.99,283.28,-365.27,-0.007931448519229889,-0.010594747960567474,59.171648263931274
0,39,-79.26,284.51,-363.77,-0.013571646995842457,-0.009170353412628174,60.821412086486816
0,40,-73.16,276.51,-349.67,-0.0073271244764328,-0.013603273779153824,62.37306332588196
0,41,-80.83,276.52,-357.35,-0.010767416097223759,-0.007417980581521988,63.932454347610474
0,42,-72.71,264.05,-336.76,-0.015768129378557205,-0.010323266498744488,65.48698830604553
0,43,-56.67,242.78,-299.45,-0.008856687694787979,-0.00620083324611187,67.02770948410034
0,44,-67.1,249.54,-316.64,-0.008243594318628311,-0.004802461713552475,68.56042146682739
0,45,-73.85,257.65,-331.5,-0.007081747055053711,-0.006909038871526718,70.09484362602234
0,46,-90.27,264.71,-354.98,-0.01045442745089531,-0.010129984468221664,71.65755581855774
0,47,-82.1,273.0,-355.1,-0.013808868825435638,-0.006895191967487335,73.21288967132568
0,48,-96.81,276.36,-373.17,-0.008435148745775223,-0.0031265243887901306,74.76174664497375
0,49,-107.22,287.53,-394.75,-0.011844118125736713,-0.013175047934055328,76.30802869796753
0,50,-123.39,317.47,-440.86,-0.012394309043884277,-0.011581242084503174,77.84270167350769
0,51,-116.93,310.36,-427.29,-0.017641285434365273,-0.008524170145392418,79.37813997268677
0,52,-108.25,305.29,-413.54,-0.010330788791179657,-0.009920962154865265,80.93736696243286
0,53,-88.75,306.67,-395.42,-0.00827530026435852,-0.010388143360614777,82.49256801605225
0,54,-109.48,334.76,-444.24,-0.012605804949998856,-0.01023417862597853,84.03881311416626
0,55,-101.55,320.01,-421.56,-0.01061829412356019,-0.008689619600772858,85.57804131507874
0,56,-103.11,308.91,-412.02,-0.006697647273540497,-0.01336745172739029,87.12331128120422
0,57,-116.02,330.91,-446.93,-0.014402320608496666,-0.012870687991380692,88.65786933898926
0,58,-132.28,333.09,-465.37,-0.012281496077775955,-0.007153826765716076,90.23556137084961
0,59,-137.74,337.63,-475.37,-0.0029062628746032715,-0.009101309813559055,91.8006272315979
0,60,-138.81,346.08,-484.89,-0.007787835784256458,-0.00903552770614624,93.3570921421051
0,61,-134.39,343.94,-478.33,-0.005639716982841492,-0.015664130449295044,94.91426014900208
0,62,-155.65,378.89,-534.54,-0.008299451321363449,-0.011687381193041801,96.47814726829529
0,63,-154.56,403.33,-557.89,-0.009565483778715134,-0.010478653013706207,98.03501915931702
0,64,-136.47,396.03,-532.5,-0.014036886394023895,-0.006056990474462509,99.57295513153076
0,65,-134.82,406.31,-541.13,-0.008005295414477587,-0.005065849516540766,101.13968420028687
0,66,-124.38,407.65,-532.03,-0.0074564553797245026,-0.010474376380443573,102.69642233848572
0,67,-124.4,397.81,-522.21,-0.010465401224792004,-0.007794679142534733,104.25148630142212
0,68,-117.45,376.61,-494.06,-0.0052488334476947784,-0.0031206391868181527,105.86904621124268
0,69,-120.68,378.99,-499.67,-0.012879914604127407,-0.0070748887956142426,107.41593837738037
0,70,-109.16,365.29,-474.45,-0.01061892363941297,-0.007865538820624352,108.96553826332092
0,71,-105.27,374.13,-479.4,-0.008249714504927397,-0.005982360104098916,110.52836608886719
0,72,-120.23,395.87,-516.1,-0.013598525896668434,-0.010693546384572983,112.10473299026489
0,73,-103.68,383.59,-487.27,-0.006022654473781586,-0.0027188509702682495,113.64521980285645
0,74,-101.3,382.92,-484.22,-0.007669925689697266,-0.009735878556966782,115.22405171394348
0,75,-98.78,410.54,-509.32,-0.005996126681566238,-0.005322661250829697,116.7666597366333
0,76,-93.26,399.13,-492.39,-0.009681540541350842,-0.01132563321152702,118.30459499359131
0,77,-74.39,388.81,-463.2,-0.012414053082466125,-0.008663865271955729,119.89205193519592
0,78,-66.06,386.23,-452.29,-0.011114809662103653,-0.011543236672878265,121.42938995361328
0,79,-58.74,377.14,-435.88,-0.013746313750743866,-0.006252001971006393,122.9827630519867
0,80,-43.83,375.43,-419.26,-0.014311407459899783,-0.006548279896378517,124.53396081924438
0,81,-19.04,362.06,-381.1,-0.01031395816244185,-0.003696138970553875,126.07546091079712
0,82,-16.65,361.48,-378.13,-0.006608776748180389,-0.004062894731760025,127.61456990242004
0,83,-12.78,337.35,-350.13,-0.008521636947989464,-0.0032779090106487274,129.15572500228882
0,84,2.25,337.88,-335.63,-0.010413600131869316,-0.0057631973177194595,130.72479891777039
0,85,-10.8,341.24,-352.04,-0.008215591311454773,-0.004713602364063263,132.27810788154602
0,86,5.17,326.72,-321.55,-0.009254582226276398,-0.004258669912815094,133.82722663879395
0,87,17.88,330.49,-312.61,-0.007135223597288132,-0.008239511400461197,135.36447834968567
