seed,training_iteration,episode_reward_mean,defender_reward,attacker_reward,defender_policy_loss,attacker_policy_loss,time_total_s
0,1,-6.35999999999994,170.83999999999997,-177.2,0.04785750084556639,0.00408543273806572,1.334827184677124
0,2,-89.69999999999997,259.4,-349.1,-0.016012277454137802,-0.011021106503903866,2.630617141723633
0,3,-126.29333333333335,283.10666666666657,-409.4,-0.00681920163333416,-0.013615665957331657,3.927452325820923
0,4,-127.83,287.61999999999995,-415.45,-0.0140104740858078,-0.007609937340021133,5.2438271045684814
0,5,-170.46400000000003,332.176,-502.64,-0.011532873613759875,-0.013093260582536459,6.545779228210449
0,6,-171.58000000000004,338.31999999999994,-509.9,-0.01710745319724083,-0.010008923709392548,7.8840131759643555
0,7,-153.18857142857144,322.95428571428573,-476.14285714285717,-0.010518744587898254,-0.00904102623462677,9.203309059143066
0,8,-119.50999999999999,287.09,-406.6,-0.01075417484389618,-0.003989244811236858,10.53734803199768
0,9,-116.46086956521737,296.79999999999995,-413.2608695652174,-0.006456136703491211,-0.005409408360719681,11.840905904769897
0,10,-107.98039215686272,293.6274509803921,-401.6078431372549,-0.008199297357350588,-0.011670694686472416,13.142423629760742
0,11,-103.54285714285713,282.5464285714285,-386.0892857142857,-0.01098734512925148,-0.002376539632678032,14.450676441192627
0,12,-102.12786885245902,283.1180327868852,-385.24590163934425,-0.011894874274730682,-0.008311636745929718,15.774877309799194
0,13,-106.0,296.0151515151515,-402.0151515151515,-0.0022958144545555115,-0.014290697872638702,17.107656478881836
0,14,-107.03661971830986,299.118309859155,-406.15492957746477,-0.007909409701824188,-0.010574042797088623,18.426507472991943
0,15,-97.19210526315787,291.5315789473684,-388.7236842105263,-0.014331992715597153,-0.014604948461055756,19.754636526107788
0,16,-90.0864197530864,289.43209876543204,-379.51851851851853,-0.005637383088469505,-0.008570004254579544,21.07209348678589
0,17,-78.68045977011492,287.72183908045974,-366.4022988505747,-0.007423307280987501,-0.004383813589811325,22.373727321624756
0,18,-75.87391304347824,291.55,-367.42391304347825,-0.007884606719017029,-0.004869882017374039,23.661047220230103
0,19,-59.04536082474225,265.96494845360826,-325.0103092783505,-0.0042380983941257,-0.012012297287583351,24.956722259521484
0,20,-71.27199999999998,279.37799999999993,-350.65,-0.006855756044387817,-0.005820022895932198,26.2461941242218
0,21,-65.30399999999999,281.71599999999995,-347.02,-0.005783703178167343,-0.0130257080309093,27.559705018997192
0,22,-71.66399999999999,299.256,-370.92,-0.008774545043706894,-0.007148105651140213,28.868049144744873
0,23,-69.53199999999998,308.43799999999993,-377.97,-0.008352193981409073,-0.011472795158624649,30.176164150238037
0,24,-62.87399999999998,313.8759999999999,-376.75,-0.00707346573472023,-0.017722345888614655,31.47655701637268
0,25,-39.84599999999998,299.01399999999995,-338.86,-0.007778584957122803,-0.0060679614543914795,32.77663207054138
0,26,-31.659999999999986,294.06999999999994,-325.73,-0.004951165989041328,-0.014107898809015751,34.06441020965576
0,27,-25.623999999999974,299.4959999999999,-325.12,-0.01136534521356225,-0.0020652394741773605,35.35124707221985
0,28,-29.453999999999983,314.91599999999994,-344.37,-0.00865212082862854,-0.006440345197916031,36.65830397605896
0,29,-24.139999999999983,305.81999999999994,-329.96,-0.01817646436393261,-0.005703307688236237,37.95544171333313
0,30,-14.599999999999982,291.17999999999995,-305.78,-0.0020005367696285248,-0.005453847348690033,39.37515473365784
0,31,-18.77799999999998,302.592,-321.37,-0.003858368843793869,-0.00360238179564476,40.68953466415405
0,32,-2.76399999999997,283.216,-285.98,-0.010054942220449448,-0.003873482346534729,41.98284673690796
0,33,-4.135999999999969,279.69399999999996,-283.83,-0.008631020784378052,-0.006279055029153824,43.295652627944946
0,34,-1.907999999999972,275.32199999999995,-277.23,-0.007713239639997482,-0.009635882452130318,44.59489178657532
0,35,-6.581999999999965,283.638,-290.22,-0.010829657316207886,-0.007573239505290985,45.888922691345215
0,36,-8.78199999999996,288.928,-297.71,-0.005617856979370117,-0.012771226465702057,47.21444654464722
0,37,-6.191999999999971,280.87800000000004,-287.07,-0.005026502534747124,-0.015667105093598366,48.56518840789795
0,38,-7.605999999999974,288.094,-295.7,-0.010621093213558197,-0.008577071130275726,49.88224244117737
0,39,-10.139999999999977,298.47999999999996,-308.62,-0.007464133203029633,-0.009191606193780899,51.187148332595825
